Tweet_count,Username,Text,Created At,Retweets,Likes
1,Frankie,@Mailafiya_r22 She featured at the Olympics...,Mon Aug 19 23:59:59 +0000 2024,0,0
2,marc suave,@MattWallace888 Average Canadian girls are Olympic athletes?  But I see your point...,Mon Aug 19 23:59:53 +0000 2024,0,0
3,Sole Retriever,"Brittney Griner explains the details behind her celebratory Olympic Nike GT Jump 2s 🥇 @brittneygriner 

📹 @PhoenixMercury https://t.co/mi0whuyXDh",Mon Aug 19 23:59:52 +0000 2024,1,19
4,RealityChick,@GenXNewsOnX OMGosh looks like the blue Dionysus from the Olympics opening ceremony 😱,Mon Aug 19 23:59:50 +0000 2024,0,0
5,John,@Liz00441313 @MichaelSLinden @johnastoehr Your taxes should go up 7% too,Mon Aug 19 23:59:48 +0000 2024,0,0
6,NTIC,"@_rocceaux Here we go with this BS … starts right back up after the Olympic break.
Who cares?
Blacks hate whites at a higher percentage than whites that hate blacks.
Throw in a period every now and again.
No clue where a thought ends and a new one begins.",Mon Aug 19 23:59:43 +0000 2024,0,0
7,Evelina Martinez,@RdotSpoon I know you don't answer and that's perfectly fine but I have to let you know watching all the Olympics on my Fubo subscription while having alllll the NBC/Peacock commercials record as well made me laugh,Mon Aug 19 23:59:35 +0000 2024,0,1
8,T 🌟,Mario &amp; Sonic at the Olympic Games,Mon Aug 19 23:59:28 +0000 2024,0,1
9,Julien Alfred of St Lucia 100m Olympic Gold!,@RemzTheAwesome I get you my bro it's fucked up when you look at it. No moral dilemma over here tho. https://t.co/KO97nCdWcc,Mon Aug 19 23:59:25 +0000 2024,0,0
10,Hatton Let's Go Brandon,"@RL9631 Thanks for the ride, Renata ☺️ 
    BOYCOTT THE OLYMPICS 
💯💯💯💯Trump2024 💯💯💯💯
Following all these great Patriots 
🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲 MAGA 🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲
Parrots, make sure you're following this awesome conductor
🇺🇲💯💯🇺🇲 @RL9631 💯🇺🇲🇺🇲💯 https://t.co/A25XjIekqh",Mon Aug 19 23:59:09 +0000 2024,0,0
11,roxyychanel,The Australian Breakdancer that did this at the Olympics😂 https://t.co/jSjH6bSPF3 via @YouTube,Mon Aug 19 23:59:07 +0000 2024,0,0
12,Yianni M,@JoeBiden @KamalaHarris @Tim_Walz Like watching the Special Olympics these democrats are showing there best? Very sad to boost about doubling jobs because you literally need double the money to live today Because of democrat failed policies and failures in our country!!!!,Mon Aug 19 23:58:58 +0000 2024,0,1
13,Frank Nielsen,I boycotted the Olympics after seeing just part of opening ceremonies,Mon Aug 19 23:58:55 +0000 2024,0,0
14,usama son of aten,"and its the olympics
howd we do
oh we won it

olympics
oh fuck
doesnt that look like
onion rings 

what does it mean
the jersey story
olympics
how does it all connect

ure telling me
those onion rings
could be a multiethnic
conspiracy
cuz ive never seen a jew work in fast food",Mon Aug 19 23:58:53 +0000 2024,0,0
15,Floridaner,"The next President will oversee the 2028 Summer Olympics, the 2026 FIFA World Cup, the 2026 G-20 summit plus the high possibility of hosting a G-7 summit and a United Nations Climate Change Conference

WOW",Mon Aug 19 23:58:51 +0000 2024,0,3
16,G Dub,@redrock_bball Based on the Olympics Embiid.,Mon Aug 19 23:58:44 +0000 2024,0,0
17,Donald moosekian,@OliLondonTV No. Woke Sports Promoters like the NCAA and The Olympic commitee should be banned.,Mon Aug 19 23:58:24 +0000 2024,0,0
18,Dreeee,@deemadigan I mean I don’t need to rely on my own expertise for Raygun because I can look at the Olympic scoring committee who gave her 0 points.,Mon Aug 19 23:58:21 +0000 2024,0,0
19,hopeful reina🐖🌴🌮🍣,@TrackGazette AN Olympic medal winner. He wasn't ready.,Mon Aug 19 23:58:20 +0000 2024,0,0
20,barrotes,@DjokovicFan_ @josemorgado Novak didn't look right physically at Olympics and still steamrolled it. You can win even if you're not 100% if you're far better than the opponents.,Mon Aug 19 23:58:16 +0000 2024,0,30
21,Dan roby,@_wake_up_USA Famous at what. ??? Who is this  ?  Olympic athlete ? Guess I missed her performance ?  I asked my friend. ? He don’t know who it is either. ?  A nobody he said … 😧,Mon Aug 19 23:58:14 +0000 2024,0,0
22,Ana | 𝓯𝓻𝓮𝓪𝓴𝔂UPPUZTRON3000,@fvkh8_luvs00b Ok you just won the cutiepie endearing moot Olympics 😭😭😭 https://t.co/3BMleJxWIk,Mon Aug 19 23:58:14 +0000 2024,0,1
23,JB (@Minerva2BC@mastodon.world),"@GribbleBev This year, it's the ripple effect of the Olympics. Canada started a day later to accommodate the OG, which then affected Cincinnati. Organizers agreed to it.",Mon Aug 19 23:58:08 +0000 2024,0,1
24,Carla🫶🏼🤷🏻🫶🏼🥂,"@RandyEarrings Between Taylor Swift and the Olympic break dancer, it might be an interesting Halloween😂😂",Mon Aug 19 23:58:02 +0000 2024,0,1
25,Rick Santos,@TheDunkCentral Olympics bball is a joke.,Mon Aug 19 23:58:00 +0000 2024,0,0
26,DanteG,"@FivelSsp @investedintel @historyinmemes She can thank him in private, which is where your personal beliefs should stay. 

The Olympics is an event for believers of all deities in the world and even non believers. Respect the rules of the Olympics, or just go be a religious fundy on your own time and leave sports alone",Mon Aug 19 23:58:00 +0000 2024,0,0
27,Global Reporting Centre,"We're excited to announce the Global Reporting Program's documentary, 'France's Olympic Gamble.' GRP fellows travelled to France to discover how hosting the Olympics has reshaped Paris—and at what cost. Produced in partnership with @AJpeoplepower. https://t.co/jNKwVLCFL4",Mon Aug 19 23:58:00 +0000 2024,0,0
28,♍️,Imma be the mascot next Olympics idk,Mon Aug 19 23:58:00 +0000 2024,0,1
29,👁️👃🏻👁️,@autryalexis @TommyTrojanStan @Ferd_Turgeson @franfraschilla @CoachCJ23 you’re asking what #2 in MVP odds and the assist leader could have provided? just look at what Gray and DT did in the Olympics. if you still can’t answer the question u should probably stop talking hoops,Mon Aug 19 23:57:52 +0000 2024,0,5
30,LJ,"@BPicardsr1 @JDfromNY206 the best one 
Olympics fault
Big bang theory didn't play
Oh wait 
Taylor swift concert was on 
Even better it was kendrick lamar hence why noone watched us 
Lmao",Mon Aug 19 23:57:56 +0000 2024,0,1
31,realjasontaylor,@GuntherEagleman The same thing in the female boxing at the Olympics. I know some women keep tissues in their bras for convenience. Theses individuals must just keep their tissues in their underwear 😂🤣😂🤣 https://t.co/Nq90koo1xn,Mon Aug 19 23:57:51 +0000 2024,0,0
32,Pointless,@Olympics @Paris2024 @TeamCanada Love how quiet the stadium gets after the finish 🇨🇦💪❤️🤫,Mon Aug 19 23:57:50 +0000 2024,0,0
33,MeowMeow,"@glennkirschner2 So… men being allowed to compete against women in sports (up to &amp; including beating the shit out of them in Olympic boxing) tell me again how that is in support of women’s rights…??? 

Go on - we’re listening, maybe Taylor is too !!  

Cuz we know - Kamala supports that !!",Mon Aug 19 23:57:47 +0000 2024,0,0
34,iconoclastia2,"@raywilton4 rubbish article from Jo. 
She missed the point about the failed Referendum &amp; totes got the vile Olympic symbolism botched.
Hard to break the wrong or woke-mind virus from which she suffers.

Get well soon Jo",Mon Aug 19 23:57:35 +0000 2024,0,0
35,Erik Rasmussen,@hughsavoldelli @IndyCaronNBC @sting_ray_robb @IndyCar @AJFoytRacing Sadly nether auto racing nor breakdancing will be in the next Olympics 😔. We must find another hiden talent that Robb has.,Mon Aug 19 23:57:29 +0000 2024,0,0
36,Zion,"@RottenKnee23 Career Super Slam - when you win all 4 slams + Year end championships + Olympic gold, Novak actually completed that by winning Olympic gold",Mon Aug 19 23:57:28 +0000 2024,0,5
37,Loi,@AmiriKing Can't wait to see that in the next Olympics.,Mon Aug 19 23:57:14 +0000 2024,0,0
38,Mapou Simon,@teledeporte @7olgacarmona Thank to Cata and Alexia They have no Olympic 🥉😬🤬😠 and They are 3rd in fifa ranking,Mon Aug 19 23:57:10 +0000 2024,0,0
39,818Foo,"@RonFilipkowski He thinks he knows better than a 2x gold medal Olympic coach, 4x NBA finals champion as a coach and 3 NBA finals champion as a player … he’s an idiot",Mon Aug 19 23:57:11 +0000 2024,2,16
40,Kirk B,"@MattWallace888 I don't know if I would consider an Olympic athlete an ""average girl.""",Mon Aug 19 23:57:06 +0000 2024,0,0
41,gen🦘,******* is so bad man,Mon Aug 19 23:56:57 +0000 2024,0,3
42,Lagertha 💜⚔️💜,@_X_Floki @KcMagination @UTSnakeyes @stack_n_hodl @Me14727768 @Olympics @NBCOlympics You better make sure you reserve a spot on your lawn for my tent ⛺ 👀,Mon Aug 19 23:56:50 +0000 2024,0,1
43,female titan,"🥇🥇🥇🥇
me if battling fud was an olympic sport",Mon Aug 19 23:56:48 +0000 2024,0,1
44,Jim DeVoto,@RonFilipkowski Guy thinks the Olympics was an all-star game.,Mon Aug 19 23:56:48 +0000 2024,1,3
45,Jay West,"@AllDAYZ77 Pure wrestler;
•Mr. Olympic Gold medal with a broken freaking neck

•Bret Hitman Hart , Master of Technician

•Daniel Bryan (pure wrestling)

•AJ Styles (pure wrestling)

•HBK - Mr. Wrestlemania
•Seth Freakin Rollins - The Workhorse Champion, The Architect",Mon Aug 19 23:56:47 +0000 2024,0,0
46,Victor (fake name),@BitsHammer They did that in 2020 Olympics too.,Mon Aug 19 23:56:46 +0000 2024,0,0
47,Chris Donald,@TheDunkCentral @AndrewDesiderio Ask him why Justin Turner didn’t play more in the Olympics,Mon Aug 19 23:56:32 +0000 2024,0,0
48,LoverBoyAngel,Craving an Olympic muffin now,Mon Aug 19 23:56:30 +0000 2024,0,0
49,SV Clean Energy,"🌞 Team spirit was high at Silicon Valley Clean Energy during our Summer Olympics! 🏆 From tug of war to a splashy water balloon toss and sack race, our staff bonded through friendly competition. These moments remind us of the power of collaboration—both at work and in play! 🌱 https://t.co/L40vpt62DW",Mon Aug 19 23:56:23 +0000 2024,2,4
50,Tunis/C,"@wideshuteyes @TheOmniLiberal Before I answer this, I have to ask you a relevant question. 

Do you think Russia's removal from the Olympics was right or wrong?",Mon Aug 19 23:56:22 +0000 2024,0,1
51,gen🦘,@kyleegarson Let me rephrase hang on,Mon Aug 19 23:56:20 +0000 2024,0,0
52,Branden Lee,"The #Olympics may be over but I’m still discovering many sexy athletes that competed. Like Jamaican gold medal winning discus thrower #RojeStona. #ManCrushMonday #MCM

https://t.co/tqaEXrAJrK",Mon Aug 19 23:56:18 +0000 2024,0,0
53,Japan Football News,"There are rumors that Kawasaki Frontale's U-23 Japan national team player Takai will be transferred to Porto, but is this true? Let's take a look at what the future holds for the 19-year-old who made such an impact at this year's Paris Olympics.😊🇯🇵🇵🇹",Mon Aug 19 23:56:08 +0000 2024,2,4
54,Gintas,1988 Olympic Games 1/4 Finals USSR vs Brazil https://t.co/yReVxo4W0I via @YouTube,Mon Aug 19 23:56:07 +0000 2024,0,0
55,The Ghost of Cricket,"@stoolpresidente Looser?! Didn't he just earn the USA a gold medal in baseball at the Olympics? So, no, he is far from a looser.",Mon Aug 19 23:56:03 +0000 2024,0,0
56,Andy Cooper,@MichaelBeck56 I think the comment of his saying that the NFL players didn’t do anything to help promote the game getting to the Olympics is absurd. That alone makes this take insane.,Mon Aug 19 23:55:55 +0000 2024,0,0
57,Greg Lundahl,@cfcwchloe Gotham is playing without nearly half of their best XI because they were at the olympics,Mon Aug 19 23:55:38 +0000 2024,0,5
58,CrownRoyal Cousin 🥃,Now this what it thought the Olympics gon look like 😂😂😂,Mon Aug 19 23:55:31 +0000 2024,0,0
59,360Z😱,@SoundbiteKing Don’t nobody trust him after seeing what he didn’t to a winner in the Olympics.🤦🏾‍♂️ We want to hear from Tatum🤷🏾‍♂️,Mon Aug 19 23:55:30 +0000 2024,0,0
60,🇻🇨 Olympic Level Hater 🥇 ✨🍉,Das egypt get so big already???,Mon Aug 19 23:55:25 +0000 2024,0,0
61,Can’t Stand Libtards,"@JamesPleickhar2 Much more entertaining than the Olympics!,,",Mon Aug 19 23:55:24 +0000 2024,0,5
62,ᴡᴇɴdyᶜʳᶠ bow (olympics’ version) 🇧🇷,@vivyromania wendy roxo,Mon Aug 19 23:55:24 +0000 2024,0,0
63,Jmatt1221,"@HeyArnold741 @mannerlygamer @NBAinsightYama @NFL_DovKleiman I Also think it’s fair tyreek may be too old next Olympics to contribute the speed younger nfl wrs can, worthy and some of these young guys have the Father Time advantage that could make tyreek less important to roster on a USA squad",Mon Aug 19 23:55:21 +0000 2024,0,1
64,DengJianWen,"@rachlgunn @cityofsydney Thank you for your entertainment in Olympic, you successfully bring the attention of the whole world to Break Dance, I believe most people criticise you out of jealousy, but many people in the world like your performance very much, keep on! 😁",Mon Aug 19 23:55:20 +0000 2024,0,0
65,Maddog7AM⚽️,Mind you four of these players are their usual starting backline who won Olympic gold https://t.co/JJMypfdlvy,Mon Aug 19 23:55:14 +0000 2024,6,222
66,ank,"Tonsillitis skipped Olympic game,Italian TF doesn’t provide Gucci bags for medals",Mon Aug 19 23:54:59 +0000 2024,0,2
67,DEI Panther,@DarkSideAdvcate @creepydotorg @Olympics Why is this so much better 😭,Mon Aug 19 23:54:43 +0000 2024,0,3
68,AC’s Collectibles,@eYank45 I can't hit F1 parallels to save my life but US Olympics has me covered!,Mon Aug 19 23:54:36 +0000 2024,0,0
69,pakejanek,@AutismRonin olympic sports,Mon Aug 19 23:54:33 +0000 2024,0,1
70,Professional GirI Dude,and I'm an olympic powerlifter https://t.co/jqy7KzQPkz,Mon Aug 19 23:54:32 +0000 2024,0,2
71,Yianni M,Watching the DNC is like watching the Special Olympics! Where do they find these people to speak this is their best to trust run this country?,Mon Aug 19 23:54:29 +0000 2024,0,0
72,gen🦘,Why does this commentator keep shouting,Mon Aug 19 23:54:23 +0000 2024,0,2
73,Med Rest/Kath,"@TimTrippDesign @next_iteration @Peter_Fitz Who do you want the acknowledgement from?
You've implied she didn't qualify fair and square-she did.
Should we support petitions making false accusations against the 100s of other athletes that didn't perform well at the Olympics? Should we defame &amp; pillory them too?",Mon Aug 19 23:54:21 +0000 2024,0,0
74,CHODL,@creepydotorg @Olympics But it’s etched into our minds.,Mon Aug 19 23:54:19 +0000 2024,0,0
75,emily is watching olympic sports,deconstructed sushi roll https://t.co/Iw3GW3oqSh,Mon Aug 19 23:54:18 +0000 2024,0,4
76,Mister Bailey OAM,"@janecat60 These types of headlines and articles are so pathetic, written by morons sitting on their couches. Same with much of the Olympics commentary if a competitor didn’t win their event. 🙄🙄",Mon Aug 19 23:54:10 +0000 2024,0,1
77,Nathaniel Jones,@evan_williams_ @CelticsUnite18 @brian284288 You're just yapping at this point then. There's no number that Ky did better than Tatum in the Finals there a reason one can get on the Olympics team and the other cant.,Mon Aug 19 23:54:09 +0000 2024,0,0
78,Rabbi Shmuley,"Kosher home, Six bedrooms, right outside New York City with Olympic length heated pool, available from now through Labor Day. Write info@shmuley.com. https://t.co/rZgYZTMpdn",Mon Aug 19 23:54:06 +0000 2024,0,3
